	Joy	Anger	Sadness	Fear	Disgust
coroa	     2.110	     1.316	     1.434	     1.454	     1.273
crucificar	     1.175	     2.324	     2.526	     2.389	     2.603
cruel	     1.168	     2.894	     2.660	     2.914	     2.514
esmagado	     1.209	     2.591	     2.594	     3.064	     1.959
aconchego	     3.794	     1.145	     1.277	     1.203	     1.089
curioso	     3.160	     1.402	     1.387	     1.445	     1.330
costume	     1.828	     1.328	     1.316	     1.332	     1.256
giro	     3.479	     1.179	     1.363	     1.259	     1.149
ciclone	     1.305	     2.351	     2.082	     2.956	     2.030
punhal	     1.252	     2.575	     2.364	     2.766	     2.123
morte	     1.077	     2.975	     3.675	     4.019	     2.110
dívida	     1.196	     2.685	     2.316	     2.913	     2.323
decompor	     1.643	     1.716	     1.683	     1.856	     1.941
derrotado	     1.124	     2.911	     3.005	     3.305	     2.154
provocador	     2.397	     1.748	     1.488	     1.800	     1.537
deleite	     1.886	     1.287	     1.329	     1.347	     1.212
demónio	     1.164	     2.884	     2.747	     2.591	     2.174
deprimido	     1.130	     2.215	     3.309	     2.682	     2.224
depressão	     1.071	     3.150	     3.139	     3.271	     2.899
desertor	     1.184	     2.014	     2.334	     2.144	     2.293
desesperado	     1.214	     3.031	     2.610	     3.245	     2.349
desprezar	     1.127	     3.087	     2.178	     2.248	     2.699
destruir	     1.234	     2.979	     2.523	     2.993	     2.331
imparcial	     2.304	     1.313	     1.348	     1.351	     1.366
detestar	     1.186	     2.573	     2.221	     2.953	     2.308
diabo	     1.342	     2.133	     1.914	     1.880	     1.943
dedicado	     3.320	     1.233	     1.390	     1.284	     1.227
diamante	     3.072	     1.235	     1.387	     1.486	     1.204
digno	     3.645	     1.154	     1.289	     1.319	     1.194
diploma	     3.267	     1.295	     1.326	     1.318	     1.296
decepcionar	     1.125	     2.933	     2.836	     2.483	     2.451
desastre	     1.164	     2.877	     2.787	     3.179	     2.043
desanimado	     1.143	     2.388	     3.227	     2.649	     2.129
desdenhoso	     1.196	     2.055	     2.138	     2.023	     2.783
desagradado	     1.189	     2.789	     2.688	     2.532	     2.133
desleal	     1.087	     3.404	     2.700	     2.796	     2.872
descontente	     1.225	     2.701	     2.665	     2.651	     2.078
aflito	     1.285	     2.202	     2.085	     3.463	     1.892
divórcio	     1.154	     2.449	     2.321	     2.464	     2.294
doutor	     2.267	     1.365	     1.488	     1.537	     1.251
porta	     1.757	     1.399	     1.408	     1.379	     1.323
medonho	     1.215	     2.579	     2.555	     2.544	     2.043
sonho	     3.756	     1.119	     1.343	     1.269	     1.125
vestido	     3.130	     1.291	     1.338	     1.309	     1.265
terra	     2.816	     1.243	     1.329	     1.303	     1.270
descontraído	     3.678	     1.134	     1.271	     1.230	     1.089
comer	     3.404	     1.339	     1.451	     1.341	     1.272
educação	     3.388	     1.243	     1.432	     1.303	     1.235
eufórico	     3.906	     1.278	     1.292	     1.453	     1.185
elegante	     3.391	     1.252	     1.413	     1.337	     1.197
embaraçado	     1.449	     2.137	     1.947	     2.227	     2.140
armado	     1.173	     3.140	     2.408	     2.822	     2.750
empenhado	     3.613	     1.266	     1.294	     1.347	     1.163
gozo	     2.395	     1.423	     1.438	     1.791	     1.414
tédio	     1.126	     2.148	     3.043	     2.508	     2.249
emprego	     3.557	     1.395	     1.531	     1.537	     1.343
motor	     1.677	     1.690	     1.741	     2.000	     1.516
enfurecido	     1.168	     3.267	     2.557	     3.102	     2.514
recado	     1.626	     1.236	     1.222	     1.331	     1.272
excelência	     3.594	     1.265	     1.264	     1.336	     1.167
entusiasmo	     4.004	     1.268	     1.358	     1.444	     1.161
desculpa	     1.598	     1.382	     1.407	     1.620	     1.290
execução	     1.551	     2.361	     2.059	     2.325	     2.047
exercício	     2.736	     1.451	     1.340	     1.565	     1.409
fracasso	     1.118	     3.041	     2.953	     3.001	     2.453
fama	     2.463	     1.280	     1.310	     1.329	     1.371
família	     3.709	     1.141	     1.235	     1.214	     1.199
fascinar	     3.749	     1.205	     1.239	     1.313	     1.130
gordo	     1.210	     2.171	     2.195	     2.464	     2.024
pai	     3.578	     1.239	     1.379	     1.326	     1.194
fatigado	     1.233	     2.127	     2.392	     2.205	     2.013
medroso	     1.229	     2.626	     2.729	     2.748	     1.982
débil	     1.188	     2.239	     2.291	     2.345	     2.531
imundíce	     1.175	     2.923	     2.260	     2.150	     2.559
fogo	     1.680	     1.991	     1.978	     2.279	     1.797
flácido	     1.149	     2.015	     2.410	     2.008	     2.133
flor	     3.455	     1.133	     1.226	     1.285	     1.169
fétido	     1.107	     2.073	     3.126	     2.388	     2.358
fragância	     3.252	     1.161	     1.300	     1.196	     1.144
fraude	     1.142	     2.900	     2.821	     3.149	     2.236
livre	     3.999	     1.263	     1.363	     1.332	     1.163
liberdade	     3.784	     1.189	     1.270	     1.283	     1.195
amigo	     3.986	     1.136	     1.237	     1.167	     1.101
amigável	     4.003	     1.165	     1.294	     1.254	     1.141
sapo	     1.651	     1.203	     1.195	     1.246	     1.220
frustrado	     1.156	     2.557	     2.430	     2.242	     2.650
funeral	     1.055	     3.377	     3.531	     3.436	     2.908
fungo	     1.346	     2.125	     2.060	     1.917	     2.141
peles	     1.432	     1.257	     1.229	     1.362	     1.327
gangrena	     1.101	     2.214	     2.883	     2.445	     2.858
porcaria	     1.211	     2.144	     2.075	     1.994	     2.721
gentil	     3.882	     1.123	     1.234	     1.250	     1.124
prenda	     4.120	     1.191	     1.270	     1.230	     1.148
rapariga	     2.785	     1.279	     1.357	     1.327	     1.305
glaciar	     1.712	     1.500	     1.465	     1.483	     1.410
glamour	     3.614	     1.247	     1.301	     1.360	     1.205
pessimismo	     1.107	     3.109	     3.174	     3.163	     2.389
glória	     3.755	     1.293	     1.362	     1.391	     1.207
deus	     2.500	     1.276	     1.325	     1.301	     1.178
ouro	     3.103	     1.312	     1.318	     1.343	     1.270
licenciado	     3.356	     1.245	     1.298	     1.349	     1.173
agradecido	     3.697	     1.128	     1.236	     1.292	     1.185
verde	     3.223	     1.199	     1.309	     1.241	     1.149
desgosto	     1.109	     2.459	     2.905	     2.506	     2.573
guilhotina	     1.187	     2.593	     2.255	     2.935	     2.109
culpado	     1.138	     2.829	     2.258	     2.340	     2.574
martelo	     1.581	     1.203	     1.192	     1.252	     1.165
bonito	     3.620	     1.201	     1.342	     1.294	     1.173
feliz	     3.996	     1.255	     1.295	     1.419	     1.182
odiar	     1.139	     3.351	     2.724	     2.853	     2.781
ódio	     1.152	     3.513	     3.014	     3.375	     2.535
enxaqueca	     1.140	     2.506	     3.060	     2.538	     2.387
saúde	     3.671	     1.155	     1.244	     1.215	     1.139
céu	     3.545	     1.173	     1.314	     1.227	     1.124
indefeso	     1.235	     2.397	     2.329	     2.609	     1.940
esconder	     1.517	     1.389	     1.498	     1.653	     1.509
história	     2.601	     1.266	     1.363	     1.273	     1.326
lar	     3.686	     1.159	     1.260	     1.197	     1.114
honesto	     3.994	     1.151	     1.281	     1.209	     1.107
honra	     3.499	     1.196	     1.236	     1.262	     1.198
esperançado	     3.621	     1.211	     1.200	     1.257	     1.136
horror	     1.186	     2.683	     2.286	     3.015	     2.200
cavalo	     2.691	     1.253	     1.499	     1.430	     1.235
hospital	     1.189	     2.696	     2.253	     2.778	     2.192
refém	     1.111	     3.026	     3.139	     3.423	     2.411
hostil	     1.319	     2.158	     2.071	     1.912	     2.267
abraço	     3.955	     1.212	     1.275	     1.261	     1.137
humilde	     3.778	     1.131	     1.273	     1.220	     1.086
humor	     3.832	     1.222	     1.275	     1.352	     1.155
esfomeado	     1.201	     2.796	     2.509	     2.724	     2.143
ferido	     1.172	     2.703	     2.439	     2.404	     2.323
idiota	     1.357	     2.224	     2.017	     1.853	     2.076
impotente	     1.190	     2.589	     3.173	     3.329	     2.059
impressionado	     3.175	     1.221	     1.260	     1.377	     1.183
melhorar	     3.781	     1.258	     1.250	     1.296	     1.154
indústria	     1.710	     1.422	     1.412	     1.562	     1.311
infecção	     1.147	     2.732	     2.993	     2.642	     2.382
tinta	     1.769	     1.313	     1.347	     1.372	     1.252
inseguro	     1.254	     2.574	     2.465	     2.585	     1.994
insolente	     1.199	     2.746	     2.172	     2.547	     2.270
inspirar	     3.539	     1.209	     1.272	     1.298	     1.227
inspirado	     3.871	     1.167	     1.279	     1.286	     1.174
interesse	     3.179	     1.346	     1.353	     1.496	     1.260
irritar	     1.185	     3.153	     2.383	     2.846	     2.609
cadeia	     1.239	     2.418	     2.645	     2.580	     1.831
ciúme	     1.227	     2.942	     2.346	     2.817	     2.338
gelatina	     2.427	     1.219	     1.262	     1.289	     1.344
jóia	     3.024	     1.311	     1.328	     1.405	     1.215
alegria	     4.299	     1.195	     1.303	     1.368	     1.139
alegre	     4.059	     1.290	     1.425	     1.307	     1.167
justiça	     3.843	     1.211	     1.306	     1.280	     1.185
petróleo	     1.419	     1.323	     1.318	     1.518	     1.294
assassino	     1.127	     3.201	     2.506	     2.740	     2.911
amável	     3.735	     1.116	     1.224	     1.251	     1.163
amabilidade	     3.971	     1.161	     1.281	     1.240	     1.139
rei	     2.381	     1.358	     1.492	     1.519	     1.273
beijo	     4.173	     1.324	     1.407	     1.440	     1.239
conhecimento	     4.030	     1.356	     1.426	     1.476	     1.233
lago	     3.636	     1.136	     1.269	     1.233	     1.086
riso	     4.189	     1.206	     1.298	     1.422	     1.190
aprender	     3.979	     1.335	     1.430	     1.404	     1.237
calmo	     3.452	     1.192	     1.327	     1.245	     1.139
lepra	     1.099	     2.996	     3.580	     3.530	     2.230
independência	     3.519	     1.359	     1.328	     1.466	     1.287
piolhos	     1.131	     2.772	     2.368	     2.181	     2.435
mentira	     1.190	     3.045	     2.791	     3.070	     2.430
vida	     4.036	     1.328	     1.408	     1.398	     1.240
indolente	     1.292	     1.950	     1.892	     1.666	     2.428
solidão	     1.133	     2.245	     3.338	     2.560	     2.330
solitário	     1.188	     1.987	     2.546	     1.927	     2.177
piolho	     1.217	     2.427	     1.944	     2.064	     2.661
amor	     3.925	     1.138	     1.363	     1.493	     1.123
amado	     3.952	     1.157	     1.295	     1.225	     1.101
leal	     3.834	     1.139	     1.240	     1.212	     1.181
sortudo	     3.935	     1.219	     1.312	     1.287	     1.156
delicioso	     3.922	     1.209	     1.339	     1.249	     1.136
luxo	     2.888	     1.347	     1.373	     1.510	     1.246
larva	     1.404	     1.758	     1.690	     1.579	     1.838
malícia	     1.247	     2.643	     2.305	     2.756	     2.217
magistral	     2.124	     1.415	     1.557	     1.545	     1.359
sarampo	     1.213	     2.331	     2.358	     2.548	     2.022
manso	     2.011	     1.308	     1.328	     1.358	     1.274
memória	     2.807	     1.275	     1.282	     1.319	     1.254
ameaça	     1.173	     2.583	     2.412	     3.337	     1.869
potente	     3.030	     1.353	     1.357	     1.504	     1.274
bolor	     1.296	     2.105	     1.896	     1.706	     2.629
milionário	     3.755	     1.296	     1.457	     1.430	     1.196
milagre	     2.901	     1.201	     1.422	     1.409	     1.231
modesto	     2.886	     1.253	     1.358	     1.270	     1.231
momento	     3.169	     1.136	     1.248	     1.243	     1.118
dinheiro	     3.412	     1.324	     1.424	     1.415	     1.302
mês	     1.890	     1.355	     1.380	     1.339	     1.269
mórbido	     1.206	     2.407	     2.709	     2.552	     1.931
morgue	     1.157	     2.529	     3.105	     2.745	     2.353
mãe	     4.028	     1.142	     1.279	     1.220	     1.109
montanha	     3.247	     1.129	     1.233	     1.201	     1.129
filme	     3.624	     1.190	     1.372	     1.297	     1.184
homicida	     1.127	     2.493	     2.733	     3.676	     1.794
musculado	     2.853	     1.240	     1.356	     1.628	     1.228
música	     4.026	     1.185	     1.274	     1.188	     1.112
mutilar	     1.092	     3.195	     3.119	     3.514	     2.441
natureza	     3.835	     1.136	     1.234	     1.199	     1.097
néctar	     2.543	     1.273	     1.380	     1.300	     1.193
pesadelo	     1.173	     2.381	     2.402	     3.386	     1.882
desinteressado	     1.267	     1.716	     2.293	     1.618	     2.043
oceano	     3.775	     1.141	     1.257	     1.211	     1.106
opinião	     2.920	     1.330	     1.363	     1.494	     1.187
orquestra	     2.798	     1.257	     1.416	     1.329	     1.256
subjugado	     1.226	     2.465	     2.702	     2.667	     2.031
sofrimento	     1.079	     3.305	     3.154	     3.482	     2.659
palácio	     3.328	     1.222	     1.352	     1.249	     1.200
papel	     1.919	     1.288	     1.284	     1.287	     1.349
paraíso	     4.016	     1.168	     1.299	     1.206	     1.099
festa	     4.143	     1.239	     1.337	     1.459	     1.164
paixão	     4.401	     1.210	     1.307	     1.640	     1.121
patente	     1.585	     1.286	     1.256	     1.330	     1.235
paz	     3.896	     1.135	     1.259	     1.216	     1.099
lápis	     2.060	     1.239	     1.325	     1.290	     1.289
perfeição	     3.752	     1.262	     1.307	     1.347	     1.156
pessoa	     2.713	     1.185	     1.258	     1.245	     1.236
pervertido	     1.416	     2.549	     2.073	     2.743	     1.931
peste	     1.212	     2.617	     2.302	     2.757	     2.211
tarte	     3.378	     1.239	     1.387	     1.306	     1.198
almofada	     3.391	     1.169	     1.304	     1.207	     1.119
planta	     2.595	     1.303	     1.361	     1.318	     1.352
prazer	     4.415	     1.230	     1.379	     1.529	     1.159
poesia	     3.232	     1.199	     1.319	     1.235	     1.160
peçonha	     1.182	     2.233	     2.669	     2.487	     2.335
cortesia	     3.201	     1.256	     1.379	     1.284	     1.246
poluir	     1.115	     3.167	     2.516	     2.374	     2.883
pobreza	     1.104	     2.828	     2.932	     2.799	     2.551
poder	     2.993	     1.380	     1.394	     1.531	     1.276
poderoso	     2.891	     1.364	     1.381	     1.539	     1.272
pradaria	     2.947	     1.201	     1.303	     1.229	     1.186
linda	     3.761	     1.108	     1.327	     1.252	     1.111
orgulho	     3.553	     1.296	     1.327	     1.371	     1.253
padre	     1.569	     1.480	     1.454	     1.495	     1.452
prisão	     1.134	     2.796	     2.886	     2.606	     2.250
privacidade	     3.398	     1.163	     1.298	     1.333	     1.135
lucro	     3.206	     1.312	     1.271	     1.377	     1.232
promoção	     3.623	     1.283	     1.337	     1.405	     1.190
protegido	     3.498	     1.143	     1.258	     1.210	     1.115
orgulhoso	     2.676	     1.249	     1.319	     1.475	     1.230
castigo	     1.207	     2.782	     2.408	     2.824	     2.302
cãozinho	     3.682	     1.155	     1.263	     1.309	     1.194
putrefacto	     1.174	     2.269	     2.913	     2.492	     2.250
desavença	     1.186	     2.564	     2.382	     2.441	     2.459
sossegado	     3.269	     1.169	     1.312	     1.241	     1.144
raiva	     1.182	     3.007	     2.502	     2.946	     2.066
rádio	     2.928	     1.268	     1.295	     1.397	     1.214
cólera	     1.200	     2.325	     2.001	     3.398	     1.959
arco-íris	     3.510	     1.171	     1.329	     1.221	     1.132
violação	     1.101	     3.062	     2.844	     3.575	     2.124
ratazana	     1.197	     2.851	     2.391	     2.673	     2.153
chocalho	     1.730	     1.413	     1.317	     1.472	     1.305
refresco	     3.563	     1.192	     1.410	     1.315	     1.163
pesaroso	     1.183	     2.147	     2.343	     1.968	     2.642
rejeitado	     1.158	     2.970	     2.931	     2.936	     2.071
relaxado	     3.676	     1.145	     1.290	     1.242	     1.095
arrependido	     1.329	     2.384	     1.936	     2.033	     2.420
salvamento	     3.777	     1.319	     1.470	     1.416	     1.253
reservado	     1.631	     1.366	     1.403	     1.353	     1.388
respeito	     3.726	     1.124	     1.260	     1.223	     1.140
respeitador	     3.522	     1.171	     1.245	     1.294	     1.196
reverencioso	     1.244	     1.839	     2.317	     1.828	     2.133
revolta	     1.542	     2.415	     2.032	     2.728	     1.939
recompensa	     3.571	     1.284	     1.366	     1.411	     1.336
riqueza	     3.403	     1.227	     1.334	     1.269	     1.267
ridículo	     1.266	     2.154	     2.092	     2.157	     2.216
motim	     1.695	     2.143	     1.797	     2.390	     1.767
rio	     3.162	     1.171	     1.371	     1.292	     1.152
centopeia	     1.255	     2.243	     2.109	     1.954	     2.595
romântico	     3.972	     1.194	     1.276	     1.275	     1.141
podre	     1.168	     2.560	     2.562	     2.307	     2.553
rude	     1.169	     2.611	     2.643	     2.422	     2.206
enferrujado	     1.433	     1.811	     2.012	     1.794	     1.984
triste	     1.140	     2.470	     3.079	     2.772	     2.530
salada	     2.318	     1.261	     1.309	     1.304	     1.354
saudação	     3.171	     1.215	     1.311	     1.257	     1.188
safira	     2.971	     1.302	     1.445	     1.358	     1.287
satisfeito	     3.775	     1.227	     1.257	     1.232	     1.153
salvador	     3.457	     1.263	     1.378	     1.306	     1.244
erudito	     2.059	     1.303	     1.315	     1.351	     1.242
desdém	     1.242	     2.250	     2.029	     1.955	     2.722
desprezador	     1.145	     2.637	     2.323	     2.078	     2.877
escumalha	     1.199	     2.631	     2.201	     2.505	     2.162
escorbuto	     1.132	     2.257	     2.550	     2.258	     3.160
enjoado	     1.219	     2.328	     2.395	     2.545	     2.005
assento	     1.736	     1.317	     1.330	     1.346	     1.274
assegurar	     2.651	     1.334	     1.382	     1.368	     1.283
egoísta	     1.153	     2.831	     2.372	     2.174	     2.608
sério	     1.514	     1.232	     1.229	     1.318	     1.198
sexo	     3.958	     1.272	     1.371	     1.583	     1.180
sombra	     1.731	     1.374	     1.378	     1.351	     1.335
envergonhado	     1.244	     2.229	     2.391	     2.557	     1.979
abrigado	     2.575	     1.176	     1.246	     1.270	     1.298
navio	     2.002	     1.320	     1.341	     1.319	     1.265
acanhado	     1.422	     1.693	     2.032	     1.808	     1.746
enfermidade	     1.166	     2.688	     2.708	     2.583	     2.181
seda	     3.034	     1.257	     1.304	     1.275	     1.240
pecado	     1.850	     1.607	     1.587	     1.872	     1.560
pecaminoso	     1.307	     2.064	     2.181	     1.946	     2.238
maricas	     1.533	     1.377	     1.450	     1.671	     1.459
céptico	     1.540	     1.462	     1.553	     1.696	     1.634
bofetada	     1.138	     3.133	     2.404	     2.536	     2.765
chacina	     1.132	     2.803	     3.146	     3.305	     2.198
escravo	     1.082	     3.063	     3.070	     3.229	     2.770
dormir	     3.781	     1.141	     1.272	     1.217	     1.089
lodo	     1.283	     2.161	     1.974	     2.166	     2.150
favela	     1.146	     2.575	     2.458	     2.283	     2.366
varíola	     1.135	     2.154	     2.532	     2.344	     3.027
snobe	     1.400	     1.900	     1.868	     2.022	     2.236
aconchegar-se	     3.788	     1.142	     1.267	     1.220	     1.095
solene	     1.822	     1.304	     1.363	     1.353	     1.217
espírito	     2.512	     1.305	     1.348	     1.345	     1.297
cônjuge	     2.974	     1.247	     1.344	     1.479	     1.286
quadrado	     1.793	     1.320	     1.316	     1.354	     1.256
estrela	     3.680	     1.129	     1.241	     1.187	     1.123
sobressaltado	     1.649	     2.170	     1.863	     2.808	     1.738
fedorento	     1.200	     2.325	     2.154	     2.105	     2.779
rua	     2.254	     1.374	     1.380	     1.589	     1.308
stress	     1.225	     3.187	     2.770	     3.393	     2.272
forte	     3.632	     1.320	     1.400	     1.421	     1.212
estúpido	     1.418	     2.323	     1.879	     2.171	     2.117
dominado	     1.262	     2.303	     2.159	     2.907	     2.177
sucesso	     4.136	     1.319	     1.401	     1.498	     1.250
sufocar	     1.120	     2.817	     2.788	     3.460	     1.959
suicídio	     1.142	     3.533	     3.034	     3.142	     2.527
amanhecer	     3.322	     1.128	     1.257	     1.244	     1.097
ocaso	     1.559	     1.574	     1.804	     1.424	     1.490
surpreendido	     3.171	     1.374	     1.403	     1.702	     1.265
desconfiado	     1.350	     2.304	     1.885	     2.224	     2.056
namorado	     3.811	     1.237	     1.216	     1.290	     1.201
sífilis	     1.093	     3.048	     2.658	     2.247	     2.608
mesa	     1.780	     1.315	     1.305	     1.315	     1.314
talento	     3.932	     1.309	     1.357	     1.380	     1.161
tenso	     1.229	     2.539	     2.501	     2.682	     1.982
térmite	     1.164	     1.814	     2.748	     1.868	     1.860
terrível	     1.166	     2.674	     2.430	     2.780	     2.352
genial	     4.075	     1.272	     1.354	     1.465	     1.195
aterrorizado	     1.258	     2.796	     2.311	     2.977	     1.947
grato	     3.506	     1.196	     1.301	     1.325	     1.168
teoria	     1.630	     1.326	     1.308	     1.395	     1.322
ladrão	     1.152	     2.864	     2.593	     3.223	     1.933
espinho	     1.317	     2.188	     2.113	     2.811	     1.905
atencioso	     3.552	     1.155	     1.345	     1.313	     1.127
excitação	     4.054	     1.251	     1.260	     1.489	     1.170
tempo	     2.340	     1.320	     1.468	     1.580	     1.281
tímido	     1.518	     1.581	     1.742	     1.725	     1.672
tabaco	     1.291	     2.166	     1.952	     1.886	     2.833
sepultura	     1.178	     2.553	     3.159	     2.873	     2.253
dor-de-dente	     1.085	     2.962	     2.981	     3.574	     2.216
tornado	     1.345	     2.131	     2.087	     2.999	     1.876
tortura	     1.074	     2.858	     3.091	     3.497	     2.575
tóxico	     1.167	     2.573	     2.292	     2.508	     2.243
tragédia	     1.138	     3.176	     2.847	     3.322	     2.276
traidor	     1.114	     3.228	     3.038	     3.257	     2.411
tesouro	     3.652	     1.444	     1.605	     1.540	     1.347
árvore	     3.013	     1.143	     1.259	     1.254	     1.181
triunfo	     3.819	     1.203	     1.331	     1.285	     1.174
triunfante	     3.995	     1.261	     1.307	     1.439	     1.192
troféu	     3.516	     1.324	     1.420	     1.434	     1.273
problema	     1.401	     2.510	     1.992	     2.709	     2.168
preocupado	     1.342	     2.156	     2.075	     3.064	     1.881
trombeta	     1.576	     1.324	     1.279	     1.363	     1.260
confiança	     3.677	     1.178	     1.232	     1.256	     1.195
verdade	     3.816	     1.135	     1.241	     1.253	     1.178
tumor	     1.062	     3.137	     3.427	     3.755	     2.562
feio	     1.176	     1.990	     2.261	     1.953	     2.508
úlcera	     1.228	     2.739	     2.400	     2.594	     2.099
infiel	     1.165	     3.253	     2.857	     3.244	     2.514
infeliz	     1.128	     2.617	     3.259	     2.909	     2.574
tranquilo	     3.678	     1.131	     1.258	     1.222	     1.142
transtornado	     1.149	     2.535	     2.377	     2.304	     2.273
útil	     3.572	     1.167	     1.206	     1.229	     1.190
inútil	     1.197	     2.370	     2.590	     2.489	     2.250
férias	     4.062	     1.169	     1.264	     1.221	     1.108
apaixonado	     4.178	     1.252	     1.379	     1.586	     1.107
vampiro	     1.543	     1.813	     1.830	     2.121	     1.959
vândalo	     1.233	     2.376	     2.197	     2.938	     1.943
vaidade	     1.419	     1.373	     1.302	     1.536	     1.332
veículo	     2.612	     1.392	     1.413	     1.633	     1.350
veneno	     1.172	     2.918	     2.932	     2.987	     2.004
vitória	     3.920	     1.292	     1.329	     1.532	     1.204
vigoroso	     3.085	     1.320	     1.300	     1.385	     1.223
povoação	     1.980	     1.397	     1.481	     1.514	     1.330
violento	     1.208	     3.179	     2.718	     3.269	     2.488
